headline,published,recent,tickers,match_reasons,article_score,url
Hantavirus cases spark surge in pharma and biotech stocks — here’s why,2026-05-11T11:53:49+00:00,True,,,0,https://www.cnbc.com/2026/05/11/hantavirus-cases-pharma-stocks-surge-moderna-novavax.html
"Second Qatari LNG tanker heads through Hormuz to Pakistan as Iran war continues, data shows - Reuters",2026-05-11T11:42:08+00:00,True,,,0,https://news.google.com/rss/articles/CBMizAFBVV95cUxPcVdvRGJBd01JMDBxRzJZQUVEMzNhRjVpRmhhWmhOWmdrRml0c25kZHBjOWFsVDI1RTVKWUcxOF9QZmRPNFFPVFZLcTF6T3ZVZzVTZnkySEF0UVpGdTExVmJpQTRNZDBhMElBeWY0TlZCWlJadi1VN1BCRzZGQnI0Yk8tdU9kT3VlZktEd29QTTk2OVNQRGNWRHlUeG1oRm9Kc29heXN3cXljSE5nVXRGYWJqYnRGSzg0VGtHOWZ1VVh2VktPdHVUR2RnbVk?oc=5
Rupee drops most in a month to record low close on spike in gold-linked dollar demand - Reuters,2026-05-11T11:08:58+00:00,True,,,0,https://news.google.com/rss/articles/CBMipAFBVV95cUxPaVlwTHdWdVlEV0tOMUdsdTVkTzJFZ3JUUldmNnVnNEZVX0FUMkdYWGk2TVdOY20wUkpEZ2ZkWUpGM3RjYVkybFhaS244bmRwR3pHV1cxSVJGV3JFb2FwZ1BEMmZGeEFGWkEtQXVhR1V4T1JIc2FMNTRINVJTNFZRSDhuZEVLYXNub3pQVEJraEpNNE83R0FvNkpmLXA2N1FEQlBZVA?oc=5
Morning Bid: 11 weeks and counting - Reuters,2026-05-11T10:55:54+00:00,True,,,0,https://news.google.com/rss/articles/CBMilwFBVV95cUxNa1pyZTBwSWZTeWh2OVlOY0hTbWU1X3FYVllHOFJQYmxDOXRWUzNFWGNsbWtxT2lGcHR2aDlRbVllcEJzb1lmQ2tuS0Q4Z2UxUTdoeV9sWFhxUmc0M1Y1c25BTlNzX082Tkw5d1dxcXd5cVJtb0tXRGkzYmJNOF9sSF8wMFpobG1haVduN3gzdE40T2lteWhZ?oc=5
"Circle raises $222 million from BlackRock, Apollo and others in Arc token presale valued at $3 billion",2026-05-11T10:29:38+00:00,True,BLK,BLK:company_name:HIGH,1,https://www.cnbc.com/2026/05/11/circle-closes-222-million-from-blackrock-apollo-for-arc-blockchain.html
"India shares, rupee fall on Modi's call for austerity, crude price spike - Reuters",2026-05-11T10:19:31+00:00,True,,,0,https://news.google.com/rss/articles/CBMitAFBVV95cUxPUXFsaDA2c2NXQ1UzaE91eW1RUXhNUjlMWWRSaEVKVjY4V3JwcWpjaG81dkpQOVRnMmE3aXhqU0d3cmh0ZFplckVMbDNaRXFvdDR3TVpXc0o5dHY0ZnZnUThseUJlWkd1UDRaWm90eG5tTXpLWHB5RG9uT1lwMzEzaDM3b2o1STJ0LTRHNVl1cmIwcWtxRWc3cnZZU2RXVklaR1VBSzNnMkNPRnpFajdwaTFLTW0?oc=5
Turkey's foreign minister to visit Qatar for talks on Iran war - Reuters,2026-05-11T10:10:24+00:00,True,,,0,https://news.google.com/rss/articles/CBMiqgFBVV95cUxQQm1GUGhCWEJESUFCdXpubVJXdklncDQ5aE80NDdqeFVCc1FqVmZNTnZrS2FZX2JJcEttMU96NVg4cTVnSmFjellSeVpYTVFoWHBDbUQwWU1ZbF9rd0dDMVI5cG9mcm1kYk5Pd3c1Sm1rRDFpWXA2RUU2cTBGdVJrRHFCZlgzQ0dqWXR3djRCdTNSbjkzdlFCU2F0RlowQS1pNkZwWkhXQzRGQQ?oc=5
"China opposes US sanctions over Iran, pledges to protect firms - Reuters",2026-05-11T07:46:00+00:00,True,,,0,https://news.google.com/rss/articles/CBMiqgFBVV95cUxQSDVBM3h0SHBGY3dqSkdId3dJSUMxdjNoU2NteWVrTmNLS2tDZU12T2FjOFoyVGxCbTBGeUhfZDhYMVhuZU5yMVd2blF2WXZwTVJ4ODhZUHBidG5JQ0FJT3RVZGRqLUN4eTBObVJwZ1RMQlptYk56OW0xNXVFWXJRbnA4YVFSUm1FT0NKNkdEd1NMcDFtU25kdjhKUUdRcENRc0ZLZ21wcTcwUQ?oc=5
"South Korea condemns attack on cargo ship in Strait of Hormuz, vows response - Reuters",2026-05-11T07:41:42+00:00,True,,,0,https://news.google.com/rss/articles/CBMivgFBVV95cUxNa3NtcFJfQlR3R2g1TzluelJ1QVhCcUZ5Z2hlb2FzZjhUeUY3RHZOSjdndGdkMG9FZTQ3Um0ybDc2UVRBWWhqeWRKNUtDdjlaaklMYVVCQzhHWGxrWFNoMkVBYkZ5blRHWnRJUFFYal9lbTFQMnl4TE5XV0hrMjVBM0k1NTVkS0xqb0NXb205UnU3NEhKX2ZLc3JrU0UzSkNXdFVNc0xqVklNVmFPclVrTDN0cTgyMk9aLWozOHJB?oc=5
"Volatility, not high prices, will define Big Oil’s next chapter - Reuters",2026-05-11T06:10:00+00:00,True,,,0,https://news.google.com/rss/articles/CBMiyAFBVV95cUxPLUVKY3U5UUxSVURybHZWbDY4Yk1CSnpzcTRwa2ttZTMtbUJIdHBCUVZUTER5cVkyRm1DUVJjUHg5TkNCZm42MjduU2xMaFV2Vmo2UXp0M1AtS1NmTWhoTjF2VjZPUFhCcnl1NWVqaWpCbUxzanFPRTZQNzBIY2ZBYVplX29aN1pBTHhSY0w5c05VV0M0ZVMyOUM1ZE5hZFpqdmtQcGV2UTAzYWVJUHFFQmNRejVrRlB0TFdyMFdRUlJaUUxMUWJrWg?oc=5
Iran executes man convicted of spying for CIA and Mossad - Reuters,2026-05-11T05:34:24+00:00,True,,,-1,https://news.google.com/rss/articles/CBMioAFBVV95cUxPcml1VEZEdmU2cEVldGpYYVp6eE01NFBnYk1SVGM0dWNMWHc2c1JzbXJFXzlRcWV1Yy1ZQ2dud012QWJmM2QxUDNMa3JBV3JZVmxaRjh1bTN4aE1abGR0VEMzMl9nTUFwR2RKbVRjc1JOOHlBVzZWbDJPOXFCSVRUV0FxVDVDZjJqSllmdXlMZ0wwS1BPVTF0YkcxZHlsOGhG?oc=5
"BofA and Goldman push back Fed rate‑cut expectations on inflation risks, jobs data - Reuters",2026-05-11T05:29:00+00:00,True,,,-1,https://news.google.com/rss/articles/CBMiwgFBVV95cUxNUmowSnVOelhFSkZuUkVCMEN2TDl4NWRidHB2ak5jQkVHcUxRd2RoNW9mMkJlNTNLU0FkeWpvdGtSd0hKV2doZXdZN2NyeVdyOTJXSWVaYmkyeF9rb005d1lPYWZGLXQtRTdObUJFMWw3b1lBUDhVYUZJcEQxclIteTdzNW5PeHhGZUhZNGVjNkVZQ2NGMzZkNWNsb09hS1ZNV2RwamRncDg3STBiMGRVNmxpNkt2S1o3QTQyTW9Qc25oUQ?oc=5
"Morning Bid: Peace progress stalls, AI rally does not - Reuters",2026-05-11T05:23:10+00:00,True,,,0,https://news.google.com/rss/articles/CBMif0FVX3lxTE1kRDNVWFgxQWllSzNPQzJMbjA3cGpDUFl4N00zcWJBUFk0WVBOUVdXa0tMZ3VZTmtibVdhSmlUT2tDZmFRVDhnb0dpRi1rYXhpXzZ5aUZSZUo1azhQSnZfVHZubnVmTkVJZzB2aUc4SWJtMHMzV2ZHQzBQY1pjZzQ?oc=5
Japan to receive first Central Asian crude oil since Iran war started - Reuters,2026-05-11T05:21:00+00:00,True,,,0,https://news.google.com/rss/articles/CBMixAFBVV95cUxNOWRzd1Z6Wk5FM215ZGVuNWdkNDFZT1dWSjVLVG54WExhR1VGSkhJcWdkdVFqa2lyeGFYQzJxOFk2WjlLUG5mZzQteU9oMjdfOGptS1pBblA2d2x4amstdTNlYm9xR3NUTkVYbFp1VGlJLVg2Ry01T043UGZtdE45MTRuTVd2cXVmc0FZRDc0ZG1YUG1BN1FkZXk4OGx6bEE0RHBaNWhxTlE3alBJRVo1LWpZT3RTVUNvSU1seTVycVFvTWl6?oc=5
"Gold ticks up as markets digest US-Iran updates, await inflation data - Reuters",2026-05-11T03:07:00+00:00,True,,,0,https://news.google.com/rss/articles/CBMiswFBVV95cUxNS1R4YmxvUWpZMGJaX3FrMXY2aGNsNG1TZ1JFc08weHF0cXRWd0s5a04xV2xEamNKNWFrT1VXWEZnRHIyZlczejVDblEzS1Z6N2NmTG14aVVkcHJQOUtreDd3TTZKUWtkSmp1aXRuckNFaXdJbThub1RPV3E0aDc4OHNPZnYweWt4MWR4UG1nU0NEMXpaU2V4OUhLNE5JdDVJQlZWREFFRUtqV2N4MVlnbDB0cw?oc=5
China's factory inflation hits 45-month high on energy price shock - Reuters,2026-05-11T01:46:00+00:00,True,,,0,https://news.google.com/rss/articles/CBMirgFBVV95cUxNNHBjRHlkdlRLWGN2eHNKT0pQRC1HSVBCQkpwWFZJMG9ITk1KWWZaMUVCYUpVcTVfcXpYOGFqWlFYSU1PZ0J5czRlMjdaajJoS19nWEEtVS1lN2c2LXF1SHBYYmRtRXR3LXBXUjlWdHN3bW9TWldSVjlqQWFocVV4d3Mtc2xHNDRFTzczd3V1WHM1RnlGb05oZUU2Wm56czNkMVNHZ3MtT0lSTU9qVnc?oc=5
"Netanyahu wants to wean Israel off US military support, he tells CBS - Reuters",2026-05-10T23:59:00+00:00,True,,,0,https://news.google.com/rss/articles/CBMiugFBVV95cUxNSktrM1p1d3dWLXUwYm8zXzNnVHBJUndwQWdpNl9XYWdUUjBGVW05TTlHUi1WVTNUeldHdkd1TW5Pd3B1WXc5M3ZOV2wtMG5hWjFLc2wwY0daQUF2VmJjMm1DMURYR2FheHl6V09udlgtYm1URk8tclpkNW5TblU2ZjhPTE9sLUR5eWxiLVN0Y0xUbHlyd0xUdlVER1lyWU5ndms1bTl4Mkk4Tkl5R25vekU5d2dKZ2dPQ2c?oc=5
"UK jobs market cools as Iran war hits outlook, REC survey shows - Reuters",2026-05-10T23:03:14+00:00,True,,,0,https://news.google.com/rss/articles/CBMiugFBVV95cUxPQ2Z5Z0w3TXJ6WWdGbjhCWkRTVkFJd25QanIydVU5UHBEYzFYUDhwUzByNGE5ZjlWNnJqQm8xLWZFQkVLaDRYeFlsSm8wMDNLQTZMWjBwQnc2dmFOTlZkYXRIYS1waTJleUhiX2d0UldudFYxV0tEUG4tMjZ5SnJEQjNnaWo4YThua1FHVVlJbDBKSXBJdkh6ZWVMYVh1czhUdUVjN3d4ZEQ5NFVCT2REUGtiMFVVaVo0Z3c?oc=5
"Stocks sag, dollar firms as US-Iran talks hit stalemate - Reuters",2026-05-10T22:57:00+00:00,True,,,0,https://news.google.com/rss/articles/CBMiiAFBVV95cUxQMV9DYUJldGFpaFVEczJiSGRvY05xRUwyWm9xZm9BV0VXVXdxZFUzM3c0YmpETzJ6V2lsaWFyRmFWdHhsZHp6dmNTaGRUM2J6dGRiZDc3Yk1KSmRadU9GbG5BNjhlZTVXUWlUZ3RSYmd1a3Q2REkybUdXMElXcFptZnpsZlZ0X0Y0?oc=5
Oil rises $3 after Trump rejects Iran's response to US peace proposal - Reuters,2026-05-10T22:08:00+00:00,True,,,1,https://news.google.com/rss/articles/CBMiqAFBVV95cUxPZnd6N0Zkang0NXYwR1c5V1M5ZDNWcjRaM1k5RDVidlU0UlpqRUVZcXdLSVMtd3VqYVY3RkVGa0piQVc4eERTRV94TjVIQXlUTE85Z1pwQ055cDZQNy13bmZiOC12ODJhclBzUkJiZXN0TlRXMHpOcTdlUGVrc1BUNkZfTUpSMHN0OWlrZ2ZPQjBKREtSeXZjUE1lRDdlX1JOMDU4SDZwdy0?oc=5
"Iran proposal calls for end of war and lifting of sanctions, news agency reports - Reuters",2026-05-10T20:33:53+00:00,True,,,0,https://news.google.com/rss/articles/CBMivgFBVV95cUxObTJqTlhwQTJLdmNFa05JNklPa2VCNjdmYnNNZ1RNUmtvYkI2ZS1JcWZyQ1BiczVGZjJVd1J0Z0Z4ZEMwYU9Ud1o0N1pySjFyNmxjR3FOSG5fYlRrZ0ZZYlZ0UWpSNllEbVFKM1NlenJWMUs4emlNV0NVMU5aZ3VVZEpmLTI3TXh2dkJSdjFfd1NHdy0wYkJPS2JZMDJWUnBCeWdpQ3dIQktpY1hpYWpFS3psY2tjV3ZDdFNoU0x3?oc=5
Jailed Iranian peace laureate Mohammadi moved to hospital in Tehran - Reuters,2026-05-10T19:24:09+00:00,True,,,0,https://news.google.com/rss/articles/CBMitgFBVV95cUxPN19VdW1yWnMzME5SWDhwX1hIYVFCV1ZJMmU2bjE5UE9RUWNnLWhRdGlaZkhySGhZQUs1aEREV0h4ZFhNT2hfLUJodnQ5ckRpYm4xcGZoUkpXY0xzZjFnbl9iS0tIcm01b2N2c293NVJBN1NvdnVkdG00WXFjdHBibXFfVnE3N1FhV1JIX2MzaWJ6bGpoOWdGWkJCaFNvbHlIU2JBeFVHTVBJWndiTXlGdDctNTBHdw?oc=5
"Trump and China's Xi set for talks spanning Iran, nuclear, trade and AI - Reuters",2026-05-10T18:26:00+00:00,True,,,0,https://news.google.com/rss/articles/CBMitAFBVV95cUxQZ3ZuLW9xbmNscWF6VTVsS084a1o0dDJNb3B3ZjJ5U1NFYll6MWRlUTBEdm9FRVVnVzdoN1l2UDlaMUNvWWdxV1FWeXZlVnV3Z0RUdWF2OFZUczgxaThFYXJNZ1pBR1UydGRreXNwaFQ0RjZxcS1WSWlVNU40cHFIX2NrVzdBUlhCZkh3ZExDU3Z3VnM2S2s4dl9UWnRRLTZXbHQ0OU9VWFdTTndZV3RHTTI5Z3Y?oc=5
It's not too late to start buying the data center winners. Here's why,2026-05-10T17:15:20+00:00,True,WNRS,WNRS:company_name:HIGH,0,https://www.cnbc.com/2026/05/10/jim-cramer-why-its-not-too-late-to-start-buying-red-hot-ai-stocks.html
Here are the 2 big things we're watching in the stock market in the week ahead,2026-05-10T15:46:51+00:00,True,Q,Q:company_name:HIGH,1,https://www.cnbc.com/2026/05/10/here-are-the-2-big-things-were-watching-in-the-stock-market-in-the-week-ahead.html
"At 103 years old, I’m the ‘world’s oldest doctor’: My 3 rules for a long, happy life are so simple—I tell it to 'all my patients'",2026-05-10T13:34:45+00:00,True,,,0,https://www.cnbc.com/2026/05/10/at-103-years-old-im-the-worlds-oldest-doctor-my-3-rules-for-a-long-happy-life-are-simple.html
"Iran sends its response to US proposal aimed at ending the war, IRNA says - Reuters",2026-05-10T13:13:43+00:00,True,,,0,https://news.google.com/rss/articles/CBMiuAFBVV95cUxNRTVYY01aTFVfdnI2Z0pyRWhRcGI4X3dlTlJLX2RzaWdTZnZMRkFHRjNTb3FCR25IZW1SNE83al92N1VRR2E1UXpES3djcF9SS2N3VHdib3dqcWRGOXZzVkN5R0JLTVNRb3hCcFhvUFVSTmlweFZsVTZNVmlJNTJTRExmVm00Zlk2T2RDZ0lEeW1KaWlWLVNfTGZVZUM5Wk9uNS0yZDhBTTJ0QUJ5Qk5uOC1DRklTYUFa?oc=5
"With Netflix new ad-free standard plan at $20, streaming's tipping point into old TV is getting closer",2026-05-10T13:00:01+00:00,True,NFLX,NFLX:company_name:HIGH,0,https://www.cnbc.com/2026/05/10/netflix-20-dollar-streaming-plan-price.html
UAE says air defences dealt with two drones coming from Iran - Reuters,2026-05-10T12:19:32+00:00,True,,,0,https://news.google.com/rss/articles/CBMirgFBVV95cUxOM3h3em5fQjl1ZHFCMTFqdUNZT1FaeWV4X25HcGZXVWczWVpGSzVaWUxlM0hVUXJ2LTNJVTJZUWVpLXVNVlY4ZjRLTl9reXdBZk9HRWtQRE84NnI2b0lXQmZ0YWFmbndzRlNVQmNDVlI3OWtjX19hbjQtWnBITlM3SlJqelhsUHNUVnprVE5Bd3YybkhvMjhkWlEzdmpKa2dCNzFvRHdRSG52QV9ZRlE?oc=5
Iran denies reports of oil leak near Kharg Island export hub - Reuters,2026-05-10T12:19:24+00:00,True,,,0,https://news.google.com/rss/articles/CBMirgFBVV95cUxNY1pvNHpjRnNkcVQtQ2JIYlZfbFR1ckZUMWV4UmYtN2wyWmRORERhSUF6VllWTFp3QmtiVTYwQmxfUDNOcjFBdTZqY2pfWmZXVWZpUjA0ZzhMQUhWY1A5Z2tMOTVJUFZwMWJfVzFJRzdjdzllTjJONmxLdDdvRzhsMFNtUnRNYmhpcGtwT2pVSGRPV3BpOXV2SGE2S2xPTHFKNlBJemdCczUxNDFNZ0E?oc=5
"South Korean ship in Hormuz hit by unidentified objects on May 4, ministry says - Reuters",2026-05-10T11:55:19+00:00,True,,,0,https://news.google.com/rss/articles/CBMizgFBVV95cUxQS2pVdVk0WUlEbXl3bVk5M3k4eFRIeGY3Q0xFdjl2ZjZnNy14aGpYdUowQ0lxX2dGalo4RVVXV2NlOEVJM1BHRXYwY202WmdRU0pSN3IyRVpWOWxIZjFmMG5ETDBpR3Zkb21rWmRqLWtFbEVpTXZZQXZrWHBOMjFLYlNfdXVlZFd3a0sxdzVJWXVtS1htMUlIaTFab2VnaUZpNzdiQ3gyVGZDRlRDX3BPT0QyenRhR0xHbkFGS1pEYlBMZnhFS3NYWFNKUGYzUQ?oc=5
Kuwait's army says it has intercepted hostile drones over airspace - Reuters,2026-05-10T11:41:53+00:00,True,,,0,https://news.google.com/rss/articles/CBMipwFBVV95cUxOUHk3NjJ3T0IxUHJ6bm1lVzFocEowZUxiX3UwTGZpbDJVZWJRV2owMXFLeDUzdHg2aXQxczZMOG1WVlU5QjZ2QlFoazZOU18xdHBKNW1WZkRoUG1qeXdGTFktLVRMcERscjVsZW8zdllzWXRPSGRaVzYtSjJYQ0lrd0JzX1NUV0lpcGk0SEJRUG5KTC1LdzBBaGVJZkZVWGN4N2MxU0pzdw?oc=5
"Iran's Supreme Leader briefs military chief on 'new guiding measures', Fars agency says - Reuters",2026-05-10T10:33:59+00:00,True,,,0,https://news.google.com/rss/articles/CBMizwFBVV95cUxNbWlHeDZWa2hYMWN4b29IUEx4dXlqbEZHc0tCZ2JmcWVKMl9nVTU4N0JKVXg2MklOZ0ZIYndIMkNIU2gzSGpPbVJMRHFqdVE0cG9IX0tlclpnNnFhX2RFa0FxR1o3QWJYX1o4SjdKNFdNT0hmMWJ5Q1JiMnhoUlBTUnh1bC1JcDVmSUhOVU5mOU9FRHhRUW42SVVuc0NoX1RlczYtT2FOU3BIaWRZYU4zcUdtSVRmZ2JDN1lIb1JjM3kxdHlYQnMyazA0ODFKZEE?oc=5
Qatar says cargo vessel coming from Abu Dhabi attacked in its waters - Reuters,2026-05-10T10:24:01+00:00,True,WAT,WAT:company_name:HIGH,0,https://news.google.com/rss/articles/CBMitAFBVV95cUxPSE96bUZWYWdjX3dMWjhTdkY5eWEwOXI1eElSalVKUnFCNmRYVUdBUkY4d2NPd3huN3VndUoyMWFzZDdBMXU5S0l3SjhoYVNBYkMyWUw2Tkd3WEtyWk44czQ3c2YweHBfRnI2UFc3dkFhS0U2bnVXeFJaNFcxcC1kZFB3WGphYWdBSkpxSldNaEhZUVdaU2lZN2RrUjhkSUtYWFFpUDF6UmJUSEhicnJjSXdUT2g?oc=5
"Ukraine, Russia trade accusations of violating US-backed ceasefire - Reuters",2026-05-10T07:55:00+00:00,True,,,0,https://news.google.com/rss/articles/CBMitwFBVV95cUxNWEhLekc5Q0owa2N5UzNzd01WaUluenEybHZTakdPN1IzX3pFRW13RjVoS1l4eFZMTTE5aWFoVzI0MnNFdm9BRHZlbkhMeEtmTV9RQmpyVGljY0x0by1DTlBPRHh6dzladzZZdEcyTkswakhIRGZ5Vlg3THJCNGVsby1MMzVNQUJJWTNuYXJFeGhKcURfMEFmZXBmMXZyVm9UQVp3bE1LS21OdHYxY3J6cFhsX1RfOGs?oc=5
"Trump's feuds, tensions with allies likely to outlast Iran war - Reuters",2026-05-10T07:00:00+00:00,True,,,0,https://news.google.com/rss/articles/CBMiqAFBVV95cUxOa251MDhvbXRkZmpQYmxzZWpzdU9fLV91cW8taTJibUZkOEItUHVLMWZTbGcwZS1zdmVpbnZVdlpCMWdaNVdHdnRfbTZ0YWo5dkkya0UwZWF3Y01jR2Z3Zm1hQU1nQXNaOC1CZ1E2RkViemZ0VzVIV3lzLTN6RWJSNXowRjIwOXd5WEpRVU94UDVyZEd1SmFpZGd0OHVwZnFQM0F0RktYRHY?oc=5
"Exclusive: Oil-price bets ahead of Iran war news totalled $7 billion, reporting shows - Reuters",2026-05-10T07:00:00+00:00,True,,,0,https://news.google.com/rss/articles/CBMi3gFBVV95cUxOZ1NvbTlocks5a09OV1ZQOWtGY1JrbVgxZmxJSjQ5VnBQVWVQWTNVNnFvb1d6ZGdOSXNqaXAyT3FTQlZGMDNrNWxpSFh4NV9WOWNDUDhEamtXZk15UUFtMEppd1JyS2tqOGN3ZWw0R3A0YTY5SUNYWGRWTk9JOGs4SUMyeUNyMmNrYjJYaFRLSEgwS0owYW1VdFZsZlBuSk14NFVMY2x0MVA5bkdNdE9GZTRNeVF2UlZPYTRjT0tFUHkwOFRYQnVmcVZkZkNDSFEtSzJRd09SWVIyVnVxWXc?oc=5
Aramco Q1 profit jumps 25% as Hormuz risks push pipeline to full capacity - Reuters,2026-05-10T05:22:00+00:00,True,,,3,https://news.google.com/rss/articles/CBMingFBVV95cUxNdjlXbUFMYVMyd29pSmpOWU02UDNoelpfdmZPZ191VVdOcG55a1ZqYXlwTjQwV2IyZXcwcXBMRURCVkVpUFdOZVkzM2oxOHVrUk15MGprV1l3MWYwZVdLTktZS0pYR3U0dE16N21wcTgxWllXMjdRTEk2YlJmckpENFNQenVvbENtX19xVmMtVDV3UG9OZFFPRkpZWFpDZw?oc=5
